index,true_category,neighbor_categories,same_ratio,doc_preview
182,Office_Products,"Office_Products, Office_Products, Electronics, Automotive, Electronics",0.4,"Liili Round Mouse Pad Natural Rubber Mousepad Image ID Mexican Pattern Manufacture MADE IN USA. Designed, Printed and Sh"
187,Toys_and_Games,"Toys_and_Games, Electronics, Electronics, Electronics, Electronics",0.2,YoungRC 915Mhz 100MW Radio Telemetry Air and Ground Data Transmit Module 915Mhz Radio Telemetry Kit for APM2.6 APM2.8 Pi
193,Electronics,"Electronics, Cell_Phones_and_Accessories, Toys_and_Games, Toys_and_Games, Electronics",0.4,DIYmalls 3V 2 Cells AA Battery Holder Case Storage Box with ON/Off Switch Alligator Clip Wire Cable 130mm (Pack of 4) Fe
198,Electronics,"Automotive, Electronics, Electronics, Automotive, Automotive",0.4,Rockford Fosgate RFK-HDRK Complete Amplifier Installation Kit for 1998+ Harley Davidson Road King Motorcycles The Road K
199,Cell_Phones_and_Accessories,"Electronics, Electronics, Cell_Phones_and_Accessories, Electronics, Cell_Phones_and_Accessories",0.4,"Moto G7 Power Battery, (Upgraded) MAXBEAR 3.85V Li-Polymer Replacement Battery for Motorola Moto G7 Power JK50 XT1955 Mo"
226,Office_Products,"Automotive, Toys_and_Games, Electronics, Electronics, Electronics",0.0,20 Regal Entertainment Group Premiere Movie Tickets (SAVE $50!) Buying Regal Premiere movies tickets are a great way to 
232,Office_Products,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Automotive, Tools_and_Home_Improvement, Office_Products",0.2,OLP Badge Strap Clips Qty 500 Clear Flexible Vinyl 2-3/4 Long & Metal Clip Snap 500 per pack 2-3/4 long clear vinyl badg
233,Cell_Phones_and_Accessories,"Electronics, Electronics, Tools_and_Home_Improvement, Electronics, Electronics",0.0,"Air Compressor 115v 23 Psi 115 volt 60 cyl. Newest addition, weighs only 6 lbs. Don't let the size fool you, it will do "
240,Office_Products,"Office_Products, Cell_Phones_and_Accessories, Electronics, Cell_Phones_and_Accessories, Toys_and_Games",0.2,WristCo Premium Neon Green Age Verified Plastic Secure Snap Wristbands - 500 Count 5/8 x 10 - Adjustable Size Bracelets 
248,Toys_and_Games,"Office_Products, Office_Products, Office_Products, Toys_and_Games, Toys_and_Games",0.4,Mag Genius Educational & Colorful Magnetic Building Building Block Set – Standard Building Kit IDEA BOOKLET of examples 
253,Tools_and_Home_Improvement,"Automotive, Appliances, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Appliances",0.4,"TRUE Evaporator Fan Blade (7, CCW, Alum) 801001 SPECIFICATIONS OUTER DIAMETER 7 DIAMETER, 178 mm DIAMETER INNER DIAMETER"
279,Electronics,"Electronics, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Electronics, Tools_and_Home_Improvement",0.4,"Transolid Sensio Pop Up Power & Charging Station, Gun Metal Providing a practical solution to power and charging needs, "
285,Office_Products,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.0,"Ghent 3 Door Enclosed Fabric Bulletin Board, Beige Fabric/Silver Frame, 72 W x 48 H Ghent® 3 Door Enclosed Fabric Bullet"
306,Automotive,"Automotive, Musical_Instruments, Tools_and_Home_Improvement, Office_Products, Musical_Instruments",0.2,Redline Double Sided Mobile Bumper Storage Rack Load up and store your painted & primed bumpers on our Redline Double Si
312,Automotive,"Automotive, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.2,Motor Guard - Welder Stud Starter Kit (1000) Motor Guard Magna-Spot Stud Welder Kit - The Ultimate Dent Removal Tool - M
319,Electronics,"Electronics, Tools_and_Home_Improvement, Automotive, Automotive, Electronics",0.4,Dorman Rear Park Assist Camera Compatible with Select Toyota Models This park assist camera matches the fit and function
330,Automotive,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Automotive",0.2,AP Products Polar White 26 x 72 Right Handed Radius Entrance Door Towable Entry Door - Radius Polar White 1000 fiberglas
331,Office_Products,"Toys_and_Games, Toys_and_Games, Toys_and_Games, Office_Products, Office_Products",0.4,"Fun Express Plastic Stackable Paper Trays, Six Trays, Assorted Colors, Great for Classroom, Office and Home Organization"
421,Tools_and_Home_Improvement,"Tools_and_Home_Improvement, Automotive, Automotive, Automotive, Automotive",0.2,"Motor Guard M-830 3/4 NPT Shop Air Regulator Part of Motor Guard's Shop Air Management System, the model M-830 regulator"
423,Automotive,"Electronics, Automotive, Tools_and_Home_Improvement, Appliances, Electronics",0.2,Progressive International 12V Lithium Ion Battery Converter/Charger - 30 Amp Series 12V Lithium Ion Battery Converter/Ch
479,Electronics,"Automotive, Electronics, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.2,"11 White Cable Ties, DuPont 66 Nylon, 100 Pc. 100 self-locking DuPont 66 White Nylon cable ties. 11 Inches long with a 6"
495,Office_Products,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.0,"Logo or Picture Design Custom Signs/Neon Signs/LED Signs/Night Light/Bar Signs/Edge Lit Signs/Your Own Design inches, Gr"
496,Electronics,"Office_Products, Office_Products, Office_Products, Office_Products, Office_Products",0.0,Color Plastic ID Card Printer with Complete Supplies Package with Bodno ID Software - Bronze Edition INCLUDES EVERYTHING
513,Automotive,"Electronics, Electronics, Electronics, Electronics, Tools_and_Home_Improvement",0.0,Furrion - 381661 - 50 Amp Shore Power Inlet Furrion's new stainless steel shore power inlets are modern and sleek with a
517,Tools_and_Home_Improvement,"Tools_and_Home_Improvement, Automotive, Automotive, Automotive, Automotive",0.2,AS-R16 Septic Tank Riser kit - 23.5 Dia. X 16 The NEW standard in septic tank riser safety & FREE SHIPPING. Includes saf
533,Office_Products,"Office_Products, Office_Products, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories",0.4,Chainway C71 Mobile Handheld Android Computer with Integrated 1D Barcode Scanner Android Computer Device IP67 Android Co
536,Automotive,"Electronics, Automotive, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.2,"Midtronics KIT Power Supply/Battery Charger Advanced switch-mode design Provides a cleaner, more reliable power source t"
544,Tools_and_Home_Improvement,"Tools_and_Home_Improvement, Appliances, Appliances, Appliances, Tools_and_Home_Improvement",0.4,Panasonic WhisperLine Remote Mount Inline Fan - Improve Home Air Quality with Ventilation - 440 CFM WhisperLine 440 CFM 
551,Tools_and_Home_Improvement,"Automotive, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Automotive, Automotive",0.4,"US Cargo Control Adjustable Wheel Net with 4 Inch Top Strap, Fitted with Twisted Snap Hook and Ratchet with Snap Hook, E"
557,Electronics,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Automotive",0.0,LiftMaster Residential DC Linear Primary 24VDC Single Actuator Arm LiftMaster Residential 24VDC Primary Arm | The New Li
564,Electronics,"Musical_Instruments, Toys_and_Games, Musical_Instruments, Electronics, Electronics",0.4,Live At Red Rocks CD+DVD Combo 2017 WALMART EXCLUSIVE CD+DVD Combo 1. Live For The Music (Live) 2. Feel Like Makin' Love
574,Electronics,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.0,Echo Studio | Glacier White with Sengled Bluetooth Color Bulb | Alexa smart home starter kit This bundle contains Echo S
586,Tools_and_Home_Improvement,"Tools_and_Home_Improvement, Automotive, Automotive, Automotive, Automotive",0.2,VIKING Men's Professional Journeyman FR Surveyor Safety Vest - Hi Vis Flame Retardant Ripstop Fabric Trusted by professi
587,Automotive,"Electronics, Tools_and_Home_Improvement, Automotive, Electronics, Cell_Phones_and_Accessories",0.2,Sando Tech 17.5'' Double Row Dream Color Chasing Aluminium Led Wheel Ring Lights IP68 Waterproof Dancing Flow Flashing R
594,Automotive,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.0,Field Service Kit with 1U5804 CAT Crimp Tool for 22-12 AWG Environmentally Sealed Connectors for Caterpillar and Tractor
605,Tools_and_Home_Improvement,"Electronics, Electronics, Tools_and_Home_Improvement, Electronics, Tools_and_Home_Improvement",0.4,"12/3 AWG Triplex Tinned Marine Wire, Black/Green/White 100 Feet Type III Stranding. BLACK/GREEN/WHITE Nominal OD.230 x.5"
606,Electronics,"Musical_Instruments, Musical_Instruments, Musical_Instruments, Musical_Instruments, Musical_Instruments",0.0,"SYNCO Wireless Microphone System, G2(A1) 2.4G Lavalier 1 Transmitter & 1 Receiver Lapel Mic for Vlog Streaming YouTube f"
610,Tools_and_Home_Improvement,"Electronics, Electronics, Electronics, Electronics, Electronics",0.0,"Arlington Industries Recessed Outlet Wall Plate Kit, White Arlington Steel TV Box Recessed Outlet Wall Plate Kit, Steel "
644,Toys_and_Games,"Toys_and_Games, Musical_Instruments, Electronics, Electronics, Toys_and_Games",0.4,"iEago RC Hard Carrying Case for DJI Air 2S, Drone Body + Remote Control Travel Bag Drone Small Box with 2 Pcs Carabiner "
666,Toys_and_Games,"Electronics, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.0,C&D Visionary The Vandals with Gun Sticker C&D Visionary is a manufacturer and wholesale distributor for licensed entert
670,Tools_and_Home_Improvement,"Electronics, Tools_and_Home_Improvement, Office_Products, Tools_and_Home_Improvement, Office_Products",0.4,"3M Automotive Refinish Masking Tape, 06654, 36 mm x 55 m 3M Automotive Refinish Masking Tape is designed to meet today's"
680,Automotive,"Automotive, Automotive, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.4,Restoration Shop - Inferno Orange Pearl Metallic Acrylic Enamel Auto Paint - Gallon Paint Color Only - Professional Sing
700,Electronics,"Musical_Instruments, Musical_Instruments, Musical_Instruments, Musical_Instruments, Musical_Instruments",0.0,"Adam Audio T7V 7-Inch Powered Studio Monitor with Isolation Pads, XLR and TRS Cables Bundle (7 Items) Adam Audio T7V 7-I"
728,Electronics,"Electronics, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.2,"Compressed Air Duster, HOMEYA Electric Air Duster, Rechargeable Cordless 3 Gears Adjustment, Keyboard & Computer Cleaner"
729,Office_Products,"Office_Products, Musical_Instruments, Electronics, Electronics, Electronics",0.2,VEVOR Acrylic Podium 47.5 Tall Plexiglass Podium 26.8 x14.3 Table Acrylic Pulpits for Churches 8 mm Thick Acrylic Board 
749,Musical_Instruments,"Musical_Instruments, Automotive, Automotive, Musical_Instruments, Tools_and_Home_Improvement",0.4,Pedaltrain Terra SC 42 x14.5 Pedalboard with Soft Case Pedal train's largest pedal board is the perfect size for true pe
783,Office_Products,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.0,"Quantum Storage Systems 2-Tier Wire Utility Cart, 2 Wire Shelves, Chrome Finish, 24 Width x 36 Length x 37-1/2 Height Ge"
795,Electronics,"Musical_Instruments, Musical_Instruments, Musical_Instruments, Musical_Instruments, Musical_Instruments",0.0,"Seismic Audio - Pair of 15 PA DJ Speakers 12 Wedge Floor Monitors PRO Audio - Band, Bar, Wedding, Church Pair of 15 Spea"
800,Automotive,"Automotive, Tools_and_Home_Improvement, Electronics, Electronics, Automotive",0.4,"Clore Automotive PL6100 Flash Reprogramming Power Supply 100 Amp The PL6100 is designed to provide stable power, on dema"
807,Office_Products,"Office_Products, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Office_Products, Tools_and_Home_Improvement",0.4,Generals Pencil Charcoal Drawing Pencil Set (Cedar) The Original Charcoal Drawing Set contains a starter assortment of p
811,Electronics,"Cell_Phones_and_Accessories, Tools_and_Home_Improvement, Electronics, Appliances, Electronics",0.4,FORSPARK Camera Dehumidifying Dry Cabinet 8W 100L - Noiseless and Energy Saving - for Camera Lens and Electronic Equipme
819,Office_Products,"Automotive, Electronics, Toys_and_Games, Office_Products, Electronics",0.2,"Double Sided Sticky Dots,Adhesive Dots Sticky Putty Clear Sticky Tack Dots Removable No Trace Waterproof Adhesive Putty "
847,Automotive,"Automotive, Automotive, Electronics, Electronics, Electronics",0.4,"GoWISE Power PS1006 3000W Pure Sine Wave Power Inverter/Hardwire Terminal, Updated Model, 1 Pack Go WISE power inverter "
851,Toys_and_Games,"Toys_and_Games, Electronics, Electronics, Electronics, Musical_Instruments",0.2,"Spektrum DX5 Pro 2021 DSMR Transmitter Only, Black Medium Introduction If youre a racer, basher or boater whos looking f"
852,Electronics,"Electronics, Electronics, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.4,"Aputure Amaran 200X S COB Video Light,Amaran 200X Upgrade Version,Amaran 200xS 200w Aputure Amaran 200XS 250W Bi-color L"
860,Office_Products,"Toys_and_Games, Tools_and_Home_Improvement, Electronics, Toys_and_Games, Toys_and_Games",0.0,Passport to Mars Mini Notebook 48 pages | 3-1/2 x 5 This passport notebook is just the thing you need for your voyage to
864,Electronics,"Electronics, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Electronics, Automotive",0.4,BoxWave Screen Protector Compatible With Peloton Tread - ClearTouch Anti-Glare Anti-Fingerprint Matte Film Skin for Pelo
872,Automotive,"Tools_and_Home_Improvement, Automotive, Tools_and_Home_Improvement, Automotive, Electronics",0.4,"Install Bay - Linear Actuator 8 Inch 110 Pounds 12.75 Inch Extended - Each Linear Actuators Linear Actuator, 8 Inch, 110"
897,Electronics,"Electronics, Automotive, Tools_and_Home_Improvement, Electronics, Automotive",0.4,"UClear Motion Infinity - Dual The UCLEAR Motion Series is based on direct feedback from riders, dealers, and industry ex"
900,Tools_and_Home_Improvement,"Automotive, Automotive, Automotive, Automotive, Automotive",0.0,Volkswagen Beetle Replacement Turn Signal Light (without Socket & Bulb) - Driver Side Aftermarket OEM Replacement Signal
930,Toys_and_Games,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Office_Products",0.0,"NERF Fortnite Rift Edge Harvesting Tool - Foam-Covered Blade – 23 Handle, 11 Blade - for Youth, Teens, Adults The Nerf F"
932,Electronics,"Electronics, Office_Products, Musical_Instruments, Musical_Instruments, Musical_Instruments",0.2,Blackmagic Design DaVinci Resolve Studio for Mac/Win/Linux (BMD-DV/RESSTUD) Blackmagic Design's new DaVinci Resolve 12 h
933,Office_Products,"Office_Products, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Office_Products, Tools_and_Home_Improvement",0.4,"ARRLSDB Diary with Lock, PU Leather Multi Color Combination Lock Journal (Combination Lock Diary) A6 Refillable Personal"
945,Automotive,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Musical_Instruments",0.0,ANEST IWATA Low Pressure Center Cup Gun (1.4mm Nozzle) Spray Without Cup… ● Full model change product of former model ● 
951,Electronics,"Electronics, Electronics, Automotive, Tools_and_Home_Improvement, Automotive",0.4,"Yezmo 100 PCS Wednesday New Addams Stickers Wednesday Sticker Merchandise, Wensday Vinyl Waterproof Stickers Pack for Wa"
970,Automotive,"Automotive, Automotive, Electronics, Electronics, Electronics",0.4,"Xantrex Freedom XI Inverter, Freedom XI 2000W 12V True-Sine, Freedom XI, Mfg# pure sine inverter, 2000 watts, 60 Hz, 16."
971,Office_Products,"Tools_and_Home_Improvement, Automotive, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.0,"Sneeze Guard Desk Shield with Transaction Window, Clear Acrylic Shield 32 W x 24 H Protective Freestanding Shield, Trans"
991,Office_Products,"Electronics, Electronics, Electronics, Electronics, Electronics",0.0,"Curso de INGLES MP3, Aprende Ingles en 3 Meses, CURSO DE Ingles (Incluye reproductor mp3 compacto con 124 Lecciones + Li"
999,Office_Products,"Office_Products, Electronics, Office_Products, Electronics, Tools_and_Home_Improvement",0.4,"BONSEN Heavy Duty Paper Shredder, Cross-Cut Shredder, 40-Min Continuous Running Time, Commercial Grade Shredder for Offi"
1015,Tools_and_Home_Improvement,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Electronics, Electronics, Automotive",0.4,"System Sensor P2RK Outdoor Horn Strobe, Wall Mounted, 2 Wire, Red Outdoor Horn Strobe, Two-Wire, Finish Red, Wall Mounti"
1019,Tools_and_Home_Improvement,"Tools_and_Home_Improvement, Office_Products, Office_Products, Office_Products, Office_Products",0.2,Uboxes Pro Economy Moving Blankets (2 Pack) 72 x80 Blue Qty Set of 2 Blankets total Size 72 x 80 Color Light Blue/Light 
1028,Toys_and_Games,"Toys_and_Games, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.2,Doctor Who - The Tenth Doctor's Sonic Screwdriver From the Manufacturer Let the Doctor help you get all of your home and
1030,Cell_Phones_and_Accessories,"Office_Products, Office_Products, Office_Products, Office_Products, Musical_Instruments",0.0,"LUXOR 30 Tablet/Chromebook Charging Station, Black Meets ansi/bifma standards Charges up to 30 tablets or chrome books ("
1048,Automotive,"Musical_Instruments, Office_Products, Office_Products, Electronics, Tools_and_Home_Improvement",0.0,Russell by Edelbrock MA-956 CHROME 31-1/2 Table Leg Sockets mount to floor and bottom of table. Tapered column ends of s
1051,Electronics,"Electronics, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Electronics, Cell_Phones_and_Accessories",0.4,"BATYUE Samsung Galaxy Tab A8 Case 10.5'' 2022 with Pencil Holder 360 Rotating Hand Strap &Stand, Drop-Proof Cover for Ga"
1088,Tools_and_Home_Improvement,"Tools_and_Home_Improvement, Automotive, Automotive, Tools_and_Home_Improvement, Electronics",0.4,Morris Products 59100 Heavy Duty Solenoid Voltage/Continuity Tester Self-storing prods. Solenoid Sensing indicated by LE
1089,Electronics,"Cell_Phones_and_Accessories, Electronics, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories",0.2,"T-Mobile By ASUS Dual-Band Gigabit Router, AiProtection with Trend Micro for Complete Network Security dual-band Wireles"
1146,Musical_Instruments,"Electronics, Musical_Instruments, Electronics, Electronics, Electronics",0.2,Orange 2x12 Cabinet Celestion V30 16 Ohm Black 2x12 Closed-back Cabinet with Celestion Vintage 30 Speakers Output 120W (
1148,Tools_and_Home_Improvement,"Tools_and_Home_Improvement, Automotive, Automotive, Tools_and_Home_Improvement, Automotive",0.4,"Prier 479-08 400 FF FCT 1/2 F X 3/4 M, Other Product Description Prier is in business to develop, manufacture, market, s"
1180,Tools_and_Home_Improvement,"Automotive, Automotive, Automotive, Automotive, Automotive",0.0,AUTOANDART Brock Replacement Passenger Rear Power Window Regulator with Lift Motor Assembly Compatible with Bonneville P
1182,Electronics,"Automotive, Tools_and_Home_Improvement, Electronics, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.2,"Asante TapTap 3, The 3rd Generation Light Show Creator Empowered by AI Technology to Allow You to Create Amazing Light S"
1208,Musical_Instruments,"Electronics, Musical_Instruments, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.2,"V-Show 200w led Stage par, Stage COB par,LED Blinder 2Head Light Warm White 3000K, 2 Eyes Wash LED, for Wedding Christma"
1249,Office_Products,"Office_Products, Toys_and_Games, Cell_Phones_and_Accessories, Office_Products, Cell_Phones_and_Accessories",0.4,200Pcs Holographic Plastic Wristbands Silver Party Wristbands Vinyl Waterproof Wristbands for Events Club Music Festival
1250,Tools_and_Home_Improvement,"Automotive, Automotive, Automotive, Automotive, Automotive",0.0,"Saint-Gobain ADFORS Grille, 24 x 30, Silver Product Description Saint-Gobain ADFORS door grilles feature a special steel"
1258,Electronics,"Office_Products, Office_Products, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.0,"MBM Destroyit 2445 P-2 Strip-cut Deskside Paper Shredder, 3/16 (4mm) Strip Width, 27 ft./minShred Speed, 9 gal. Shred Vo"
1259,Electronics,"Automotive, Electronics, Tools_and_Home_Improvement, Electronics, Tools_and_Home_Improvement",0.4,Thomas and Betts TR TY28MX Cable TIE 50LB 14 UV BLK (Pack of 1000) The Ty-Rap TY28MX has a nominal length of 14 with a 5
1267,Tools_and_Home_Improvement,"Automotive, Automotive, Automotive, Automotive, Automotive",0.0,CUB CADET Control Cable Z SC IP HW HW EZ EQ EQ E 900 500EZ 500 300 Genuine OEM Cub Cadet MPN Previous MPN Fitment Compat
1281,Tools_and_Home_Improvement,"Automotive, Tools_and_Home_Improvement, Automotive, Automotive, Tools_and_Home_Improvement",0.4,Farmertec Holzfforma G660 MS660 Includes 36 inch Bar and Chain 2-4 DAY Delivery Farmertec Holzfforma G660 MS660 Chainsaw
1298,Musical_Instruments,"Tools_and_Home_Improvement, Musical_Instruments, Automotive, Musical_Instruments, Electronics",0.4,"Ibanez, Tremolo Arm Product Description The UTA20 ultralite tremolo arm achieved a significant reduction in weight by ut"
1302,Automotive,"Toys_and_Games, Toys_and_Games, Toys_and_Games, Automotive, Toys_and_Games",0.2,Allstar Performance Chassis Dollies Steel chassis dollies allow a car or chassis to be moved around the shop easily and 
1406,Tools_and_Home_Improvement,"Electronics, Electronics, Electronics, Electronics, Electronics",0.0,Platinum Tools Ezex44 Shielded RJ45 External Ground Connector Accessory Box Platinum Tools Ezex44 Shielded RJ45 External
1445,Tools_and_Home_Improvement,"Office_Products, Office_Products, Office_Products, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.4,"Academia Maps Colorful World Map Mural, Giant 89x60 Inch. Self Sticking World Map Wallpaper. Peel and Stick Wall Decal. "
1472,Cell_Phones_and_Accessories,"Tools_and_Home_Improvement, Automotive, Automotive, Tools_and_Home_Improvement, Automotive",0.0,Utilimedic+ UV8LED Fast Wireless Charging Pad for Car & Home | UV Light Phone Sanitizer for Cell Phone | Eliminates 99.9
1480,Electronics,"Cell_Phones_and_Accessories, Electronics, Automotive, Electronics, Cell_Phones_and_Accessories",0.4,Ramtech DC 12V 2A Car Charger Power Adapter Cable Cord for GPS for Garmin Nuvi 2450 2450LM 2455 2455LT 2460 2460LT 2460L
1483,Tools_and_Home_Improvement,"Office_Products, Automotive, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Electronics",0.4,"Petra Roc Safety Vest ANSI Class 2, Two Tone Lime Solid with Orange Contrast Binding, 2x1 Laminated Reflective Tapes, Zi"
1490,Toys_and_Games,"Toys_and_Games, Toys_and_Games, Automotive, Automotive, Automotive",0.4,"Redcat Racing Rampage MT V3 Gas Truck (1/5 Scale), Orange/Flame Got Gas?? Be the biggest and baddest on the block with t"
1503,Toys_and_Games,"Toys_and_Games, Tools_and_Home_Improvement, Office_Products, Automotive, Office_Products",0.2,24in Spin to Win Dry Erase Prize Wheel with Special Sections Top Quality and Built to Last! Re-Open with a Spin! Spin th
1510,Tools_and_Home_Improvement,"Automotive, Tools_and_Home_Improvement, Office_Products, Toys_and_Games, Tools_and_Home_Improvement",0.4,JET 723551 Folding Infeed/Outfeed Tables (for and Infeed/outfeed tables assist in holding longer boards in and out of yo
1515,Office_Products,"Electronics, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories",0.0,Line Leader 30 Unit Mobile Charging Cart with Locking Cabinet | 5-Min Assembly UL-Certified Charging Station for Tablets
1533,Office_Products,"Office_Products, Electronics, Musical_Instruments, Office_Products, Electronics",0.4,Pocketalk Classic Language Translator Device - Portable Two-Way Voice Interpreter - 82 Language Smart Translations in Re
1539,Toys_and_Games,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.0,"Thumler's Tumbler Model A-R2 Kit Rock Tumbler Thumler's Model A-R2 No. 115 Versatile two-barrel, 6 lb. capacity tumbler."
1546,Tools_and_Home_Improvement,"Electronics, Tools_and_Home_Improvement, Musical_Instruments, Automotive, Electronics",0.2,"Rachio Outdoor Enclosure, for 1st Generation Sprinkler Controller - Gray NEMA Type 3R / IP42 rated weather proof ABS enc"
1559,Musical_Instruments,"Electronics, Musical_Instruments, Electronics, Electronics, Office_Products",0.2,"Procraft 2U 12 Deep Equipment Rack 2 Space - Made in the USA - With Rack Screws Procraft 2U equipment rack 12 deep, 3/4 "
1566,Automotive,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Automotive, Automotive",0.4,Rv Roof Magic – Fix RV Roof Leaks 4 Gallon Pail White Liquid Rubber Sealant Cover 200 SQFT – Liquid Rubber Waterproof RV
